steamid,num_games_owned,playtime_forever
76561199195652709,10,2279
76561199437680005,10,920
76561199164190903,44,1766
76561199129932780,6,17410
76561199093491847,0,585
76561199092570898,7,11701
76561199403512871,1,905
76561198306442237,11,2212
76561199382649281,3,13971
76561199078370972,92,1264
76561199208263884,16,2831
76561199072636504,5,4216
76561199221837376,22,12737
76561197972497870,19,9728
76561198166517064,256,34205
76561199443486792,3,3172
76561198307731640,27,4125
76561199421201425,19,2341
76561198841916508,19,45557
76561197967049865,126,2820
76561198133734494,121,1465
76561199388447813,24,2324
76561199241174962,2,39477
76561199433948227,26,3935
76561198218304867,26,4931
76561198985888687,50,914
76561198410636351,42,16050
76561199229540696,18,9568
76561198870563269,36,22929
76561199274032907,4,930
76561199382046721,3,2901
76561199180833487,22,11879
76561199495524579,2,4175
76561199062895403,13,2112
76561199241213703,4,3843
76561199227597358,17,107
76561199242760962,9,5813
76561199432661721,12,7938
76561199385498069,6,5570
76561199189428876,27,10770
76561198993133618,36,3693
76561199083767989,20,21729
76561199475812558,1,2857
76561199158349904,27,19516
76561199071007543,10,1234
76561198149265795,161,33623
76561199012733863,18,783
76561198241769606,31,2565
76561198861683267,158,9300
76561198651737325,9,5262
76561199376752816,7,17259
76561199256925693,1,587
76561198403968630,53,21823
76561199487239332,6,887
76561199217922432,3,496
76561199231126671,2,22571
76561198258566692,25,10694
76561198095999161,76,7069
76561199023962292,23,18706
76561199146973280,2,4072
76561199542546936,3,5908
76561199390791840,1,3813
76561199053907078,30,15317
76561199121477476,64,45990
76561199502709735,28,834
76561199167326323,11,7693
76561199229287187,11,12025
76561198811528971,261,12774
76561199439892306,8,599
76561199405221023,38,425
76561199072019215,7,8914
76561199261528256,6,11241
76561198361969548,66,22689
76561199278146214,6,3904
76561199217989777,28,56596
76561199230380337,20,34206
76561199386437442,9,12127
76561199321669558,17,1436
76561199127213564,4,1792
76561198940040046,49,12189
76561198103325079,96,8001
76561198994972108,36,8813
76561199435624224,11,7477
76561198858182051,20,457
76561199511348630,1,14813
76561198202331455,19,69651
76561198242057846,53,22925
76561198272020604,129,41993
76561199000551281,18,16181
76561198943554725,31,1813
76561199386364313,4,3012
76561199004004330,57,50106
76561199306110960,14,2932
76561198079734836,299,10276
76561199092379176,9,2438
76561199038005391,34,5384
76561198862519932,76,1290
76561199127978144,39,8713
76561199061943586,15,1113
76561199113752186,16,989
76561198404500546,13,43961
76561199283962198,45,1978
76561198398766471,13,1660
76561197961154310,149,3432
76561199160861685,2,964
76561198058888295,379,75
76561199083800524,20,13707
76561199120015515,5,1701
76561199058154735,14,1495
76561199068478333,19,10320
76561199550011287,8,1351
76561199013847794,39,2090
76561198156058848,63,128
76561199083581011,160,29260
76561199263263883,3,13491
76561199045054104,16,1448
76561198117960892,246,24738
76561199187019149,5,7064
76561199145474240,11,3924
76561198333825692,64,17061
76561199134186009,46,12543
76561199016779537,8,801
76561198970663197,10,11459
76561198926538721,17,2713
76561199059555212,25,520
76561199304853490,3,18379
76561199159731418,20,6979
76561198950677047,96,1913
76561199213505892,11,14309
76561199229724917,80,4807
76561198801452897,7,232
76561199476419346,10,10584
76561199062381949,7,3432
76561198868311676,46,15351
76561199384924771,50,8381
76561198799152661,13,27327
76561199118935685,101,3417
76561199225847944,53,17725
76561199084790673,20,3494
76561197968689525,87,13070
76561199149858425,9,4243
76561199126201666,8,13146
76561198922942134,8,4172
76561199439830772,7,3758
76561199077989391,100,3435
76561198156071964,88,63187
76561198987975694,20,6369
76561199242363101,9,7725
76561198812859050,129,12733
76561199183159395,53,6262
76561199169885573,43,2014
76561199077226440,96,2809
76561199172718152,29,5616
76561199041934039,174,4185
76561199173175238,15,12588
76561198206764708,78,52258
76561199433473502,77,2296
76561198115535863,137,14802
76561199239196234,15,5165
