name,defaultvalue,displayName,hidden,icon,icongray,description,player_count
ACH00,0,Welcome to Los Santos,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/348a8015272416e2587965c493877b822fb2bcd1.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/dd1d4a04865ddb8772d97f308fcc5ad843c32c8e.jpg,,1699
ACH01,0,A Friendship Resurrected,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/7424038d40678f398eab78553f71d9832d778ff6.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/5bed6fa24359447671962ffa09b748ba146c9d91.jpg,,951
ACH02,0,A Fair Day's Pay,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/4ba73dc8669d5e7090c3efa5b677f34f262049d9.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/247fb92fe3915ef7b23e85e34478a6608e438bf0.jpg,,736
ACH03,0,The Moment of Truth,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/3e96f06594bde75643c502a8f3c82907b07ac594.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/b466bb2c244eaf28060dfde315e5e9a2a0c169bc.jpg,,604
ACH04,0,To Live or Die in Los Santos,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/b785bc5590edfb7a40292702b1f96e5c4ec8d7fa.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/b9d0dea437fedf77ea4599b63bccda94b6c42508.jpg,,617
ACH05,0,Diamond Hard,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/f3bbb0111add48a93dc0ba03b3fe863ecae5dfc6.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/e7271f7c0561fd90e5dfe6e81326791d345d191f.jpg,,998
ACH06,0,Subversive,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/a9e0377d0560512f8b51bfd496b6b166c7527c4d.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/e16d6d2628f2eb496963618b92c6f9b895c2224e.jpg,,794
ACH42,0,Blitzed,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/d64b576aadce4af019a652caf950a5d36f548e3e.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/8628adef1ddc165b82b79831b1df89fff841c638.jpg,,759
ACH07,0,"Small Town, Big Job",1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/7e3f09a716dcd0aa4b6f811a6d748cad37dfd738.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/9dae4e2234aa7cc4d9aa00307ab9b13140b53b0a.jpg,,693
ACH08,0,The Government Gimps,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/45de6fb89cc1a8c009bccdec10744c33380b481c.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/271590/43ef33d7afe049066b79b926d0b164cb44090a0a.jpg,,627
