appid,genres
301520,"action, free to play, indie, massively multiplayer, rpg, simulation"
271500,action
304030,"free to play, massively multiplayer, rpg"
304050,"action, adventure, casual, massively multiplayer, rpg, free to play"
304930,"action, adventure, casual, free to play, indie"
224600,"action, free to play, massively multiplayer, rpg"
302380,"casual, free to play, indie"
307880,"action, adventure, indie, rpg, simulation"
312280,"casual, free to play, indie, strategy"
227940,"action, free to play, indie, massively multiplayer, strategy"
250400,"action, adventure, rpg"
323370,
258970,"action, adventure, rpg"
282070,"adventure, indie, simulation"
230290,"casual, indie, simulation, early access"
341800,indie
316390,
346120,"action, free to play, indie, massively multiplayer"
349700,"action, free to play, indie, massively multiplayer"
354200,"action, adventure, free to play, indie, massively multiplayer, rpg"
356040,"indie, rpg, strategy"
361280,"indie, simulation, strategy"
365720,rpg
365670,"animation & modeling, design & illustration, video production"
368730,"action, adventure, casual, indie"
322330,"action, adventure, indie, rpg, simulation, strategy"
371970,"action, adventure, indie, rpg"
372800,"adventure, indie, massively multiplayer, rpg, free to play, early access"
380600,"massively multiplayer, simulation, sports, free to play"
380770,
381940,action
382310,"indie, simulation, early access"
387990,"action, adventure, indie, simulation, early access"
352460,"action, adventure, indie, strategy"
287920,"action, free to play, indie, massively multiplayer, rpg"
234140,"action, adventure"
393380,"action, indie, massively multiplayer, strategy"
404410,"action, adventure, rpg, simulation, free to play"
407060,"casual, free to play, massively multiplayer, simulation"
247730,"action, indie, massively multiplayer, rpg, simulation"
416590,"action, adventure, casual, indie, simulation, strategy"
427730,"action, casual, indie"
436820,"adventure, indie, simulation"
440630,"action, indie"
446770,"action, simulation"
327140,design & illustration
386690,"indie, simulation, strategy"
447270,free to play
454120,"action, massively multiplayer, simulation, early access"
455440,"action, adventure, indie, rpg"
457420,"action, free to play, indie, simulation"
457550,"action, free to play, simulation"
462930,"casual, free to play, indie, simulation, strategy, early access"
468700,"casual, free to play"
470220,casual
471710,"adventure, casual, free to play, massively multiplayer"
473690,"action, adventure, indie"
477800,"casual, free to play, indie, simulation"
48000,"action, adventure, indie"
493400,"casual, early access"
518580,"adventure, indie"
518790,"adventure, simulation, sports"
523710,"action, indie, simulation, sports"
544590,action
549920,"adventure, casual, free to play"
550820,casual
544130,"casual, indie"
555160,"action, indie, early access"
561080,"adventure, indie"
402560,"casual, indie, rpg, simulation, strategy, free to play"
564710,"casual, rpg, free to play"
578080,"action, adventure, free to play, massively multiplayer"
578620,"action, indie"
611660,rpg
611670,rpg
612050,"free to play, simulation"
306130,"action, adventure, massively multiplayer, rpg"
620980,indie
418460,"action, massively multiplayer, simulation, strategy"
386180,"action, massively multiplayer, racing, free to play"
651150,"action, indie, sports, strategy"
657200,simulation
677120,"action, indie, rpg"
686810,"action, indie, massively multiplayer, simulation, strategy"
688130,"action, adventure, casual, indie"
698780,"casual, free to play, indie"
711810,"action, adventure, free to play, indie, rpg, simulation"
755790,"action, free to play, massively multiplayer"
774801,"action, adventure, casual, indie, early access"
892970,"action, adventure, indie, rpg, early access"
924140,"action, adventure, indie, massively multiplayer, rpg, simulation"
1019550,"action, indie, simulation"
1199030,"action, indie, rpg"
1222700,"action, adventure, indie"
916840,"action, adventure, indie, rpg, simulation, strategy"
38400,rpg
1190460,
1399780,"action, adventure, free to play, rpg"
753650,"action, adventure, indie, simulation, strategy, early access"
843380,"action, adventure, casual, indie, massively multiplayer, free to play"
368230,"indie, simulation, strategy"
1557990,"action, massively multiplayer, strategy, free to play"
1692070,"action, adventure, casual, free to play, massively multiplayer"
1714040,"free to play, strategy"
1818750,"action, free to play"
2075730,
282140,"action, adventure, indie"
303800,"adventure, strategy"
305620,"adventure, indie, simulation, strategy"
356570,"action, indie, strategy"
365450,"indie, simulation"
386620,"action, indie, simulation, strategy"
388880,"adventure, indie"
454950,"adventure, indie, simulation"
368390,"adventure, casual, indie"
475550,"adventure, indie, strategy"
491950,"adventure, indie, simulation"
391720,"adventure, indie"
535930,"indie, simulation"
555220,"adventure, indie"
599140,"adventure, indie, rpg, simulation"
632470,rpg
633060,"adventure, indie, simulation"
641990,"indie, simulation, strategy"
658850,"indie, simulation, strategy"
688420,"action, indie, simulation"
761620,"adventure, indie, simulation, strategy"
762220,"adventure, casual, indie"
837470,"action, indie"
841190,"casual, indie, simulation, strategy"
844590,simulation
718670,"indie, rpg, simulation"
918820,"adventure, indie, simulation"
942970,"indie, rpg, simulation"
992310,"adventure, indie, rpg, free to play"
1000030,"action, indie, simulation, strategy"
1136370,"adventure, casual, rpg, simulation"
1216710,"indie, rpg, simulation"
1240210,"adventure, casual, indie"
1284410,"rpg, strategy, free to play"
1291340,"casual, indie, simulation"
1293180,"adventure, casual, indie, simulation"
1389550,"adventure, rpg, simulation, strategy"
532210,adventure
1435670,"adventure, indie, simulation"
1469280,"action, adventure, casual, free to play, indie, simulation"
1180660,adventure
2025750,"indie, simulation, strategy, free to play"
10110,adventure
410840,"casual, indie, simulation"
548430,action
582500,"action, adventure, indie, free to play"
973230,"action, indie, rpg, simulation, strategy, early access"
2080690,"action, indie, early access"
2357570,"action, free to play"
70,action
220,action
380,action
420,action
31280,"casual, sports"
99900,"action, adventure, casual, free to play, indie, massively multiplayer, rpg"
211500,"free to play, racing, simulation, sports"
33910,
253530,"action, free to play, indie"
291480,"action, adventure, massively multiplayer, rpg, simulation, strategy, free to play"
317400,"action, adventure, free to play"
274170,"action, indie"
313690,"action, adventure"
362930,racing
383080,"casual, free to play, indie"
291550,"action, indie, free to play"
391460,"action, free to play"
448290,"action, adventure, indie"
457330,"free to play, racing, simulation, sports, early access"
379720,action
493520,action
520860,"action, free to play, indie, massively multiplayer, racing, simulation, early access"
550650,"action, free to play"
444200,"action, massively multiplayer, free to play"
619910,"action, massively multiplayer"
644560,"adventure, indie, rpg"
671860,"action, massively multiplayer, early access"
699130,action
704270,"action, adventure"
738060,"free to play, indie, simulation"
790710,"action, free to play, massively multiplayer, simulation"
623990,
823550,"casual, indie, rpg, simulation, strategy, free to play"
804810,
544920,"action, free to play, indie"
884660,"action, massively multiplayer, free to play"
298610,"adventure, casual, free to play"
1241100,"action, indie, massively multiplayer, free to play, early access"
924970,action
1902490,"action, adventure, casual, free to play"
2012840,action
2087030,"action, massively multiplayer, free to play, early access"
2250040,utilities
1272080,"action, adventure, rpg"
340,action
300,action
2600,action
9050,action
4560,"action, strategy"
228200,"action, strategy"
12500,casual
12900,indie
7670,"action, rpg"
9740,
15130,"action, adventure"
20900,"action, rpg"
22000,indie
500,action
18500,"indie, strategy"
17460,"action, rpg"
23310,rpg
22200,"action, indie"
18700,"action, indie"
26800,"casual, indie, strategy"
29720,
3590,strategy
3900,strategy
22320,rpg
35700,"action, adventure, indie"
20530,action
40700,"adventure, indie"
41500,rpg
12840,
24980,rpg
8850,action
24960,action
8190,"action, adventure"
40950,"simulation, strategy"
40960,"simulation, strategy"
32470,strategy
17450,rpg
57300,"action, adventure, indie"
25900,"rpg, strategy"
35130,"action, adventure"
12210,"action, adventure"
2760,
24470,
40400,"indie, strategy"
107300,"indie, rpg"
70300,"action, indie"
33460,"adventure, simulation"
107100,"action, indie, rpg"
55230,action
102600,"action, indie, strategy"
48240,strategy
202200,"indie, strategy"
6120,"action, indie"
63710,"action, indie"
94200,"action, indie"
200900,"action, adventure, indie"
206440,"adventure, indie, rpg"
215280,"action, adventure, free to play, massively multiplayer, rpg"
202170,"action, adventure"
204360,"action, adventure, casual, indie, rpg"
203140,action
219150,"action, indie"
214560,"action, adventure, indie"
211400,"action, adventure, indie"
220240,"action, adventure"
50620,"action, adventure"
55110,action
462780,"action, adventure, rpg"
221640,"action, indie"
227320,
221380,strategy
8870,action
233720,"action, indie, simulation"
233270,"action, adventure"
113020,"action, adventure, casual, indie, strategy"
236090,"action, adventure, indie, rpg"
231160,"action, adventure, indie"
35720,"action, adventure, indie"
206420,"action, adventure"
224060,
39140,rpg
244850,"action, indie, simulation, strategy"
244730,"action, indie"
232430,"adventure, indie"
250320,"action, adventure, casual"
111900,"action, strategy"
251150,rpg
251290,rpg
208730,"action, rpg"
219780,rpg
231140,simulation
207040,"action, indie"
606730,action
40300,rpg
50650,
65530,"rpg, strategy"
18000,"adventure, rpg"
18040,"action, indie, rpg"
18050,"action, indie, rpg"
221910,"adventure, indie"
246580,action
265930,"casual, indie, simulation"
237990,"indie, rpg, strategy"
39150,rpg
230230,"adventure, indie, rpg, strategy"
373420,"adventure, indie, rpg, strategy"
269190,"action, adventure, indie, rpg, strategy"
239160,"action, adventure"
283680,"action, indie"
233290,"action, adventure, rpg"
298110,"action, adventure"
238010,"action, rpg"
301910,action
368340,"action, adventure, indie, rpg"
